theta_0,theta_1,sigma
0.5751582,-0.026915487,1.1514729
0.19181344,1.4221351,1.0192538
-0.07797707,1.4061708,1.2291579
-0.037593003,1.4512085,1.158819
1.3812614e-05,1.593418,1.1385238
-0.26413214,1.7001371,1.310292
-0.014191784,1.8763331,1.3849497
0.93027663,-0.5719279,1.3708012
0.8370749,-0.9486732,1.3988612
0.69830143,-1.4044758,1.4834478
-0.167978,1.6271124,1.6262943
-0.17905658,1.5312306,1.5739838
-0.20474763,2.1654305,0.8900917
-0.22378558,2.0322366,0.9025482
-0.17785403,1.924908,0.94145095
1.2047132,-1.5133415,1.411102
1.0861284,-0.75988364,1.3140159
0.51656836,-0.041810483,1.2675288
0.62643117,0.013984582,1.2627453
-0.029405843,1.6818224,1.0345029
0.20398307,1.9846847,1.063701
-0.048393346,0.9588383,1.0462171
0.03875655,1.506572,1.0614964
0.64548,-0.043795716,1.124312
0.73329175,-0.19848534,1.1002686
0.62684965,0.24899119,1.0290197
0.22646107,0.35052463,1.1045454
0.35257873,0.8084589,1.1183895
0.6078322,-0.23990504,1.0556197
-0.122689046,2.0021577,1.0710845
-0.0017987961,1.594825,1.1429756
-0.08604783,1.5997545,1.1665381
0.36841065,0.86566204,1.0849427
0.37113646,0.44612938,1.1815326
0.20538306,1.2718804,1.0040027
0.30291897,0.82644904,1.058145
0.28509554,1.1262953,1.0164152
0.3923891,0.93012565,1.0188602
0.12563567,1.3684742,1.1215452
0.42205876,0.44040164,1.1028812
0.4758819,0.19195709,0.9933977
0.13436516,1.1727577,1.0524446
-0.33053035,2.3604317,1.072757
0.645519,0.007744107,1.1279246
0.633373,0.12316655,1.3328896
0.466068,0.30008212,1.3247797
-0.1196982,1.56577,1.2498239
1.2682631,-1.2986794,1.0704315
0.49603462,-0.27537256,1.3458478
0.4707141,-0.42020682,1.2855815
0.14054735,1.2938144,1.0313143
0.11323159,0.08199329,1.3885767
0.5939026,-0.014261358,1.1406692
0.043196343,1.871736,1.0547434
0.43958098,0.8938876,1.2501369
0.2851856,0.2728012,1.1199174
0.4503836,1.0865029,1.0480567
0.4503836,1.0865029,1.0480567
0.16696925,0.505877,1.281751
0.18330345,0.6112763,1.3275013
0.71380144,0.4864372,1.410114
0.75788945,0.06798926,1.3274103
0.53639334,-0.22927703,1.2649443
0.08557607,0.9072719,1.0958023
0.16353899,1.5397612,1.0792664
0.49365106,0.35334548,1.0994511
0.41990396,0.48256963,1.0447179
0.7515941,0.09141708,1.0953159
0.026370777,1.8458146,0.9637259
0.822324,-0.90473646,1.2011149
0.88240635,-0.68972486,1.2199455
0.8237861,-0.8658821,1.1802386
0.5884015,0.509224,1.1847445
0.10946426,1.6809559,0.9284059
-0.083732195,1.6183006,1.091934
0.6374426,0.3638913,0.99314255
0.6017685,0.35765165,1.006567
0.4440098,-0.33358383,1.1548678
0.5157685,-0.2533587,1.1519147
0.5290089,0.12690423,1.1584618
1.1059728,-0.9840361,1.2423995
0.6644617,-0.7151872,1.0857569
0.22751954,1.2203832,1.0008518
0.34207267,0.086817905,1.0551691
0.72691154,0.091247305,1.0303411
